INFO:root:So should this
WARNING:root:And this, too
WARNING:root:Starting heatstop
04/28/20:11:06:10,45 root WARNING Water temp = 75.54f TOO HOT
04/28/20:11:06:16,843 root WARNING Water temp = 75.54f TOO HOT
04/28/20:11:06:23,660 root WARNING Water temp = 75.54f TOO HOT
04/28/20:11:06:30,431 root WARNING Water temp = 75.54f TOO HOT
04/28/20:11:06:37,247 root WARNING Water temp = 75.54f TOO HOT
04/28/20:11:06:44,27 root WARNING Water temp = 75.54f TOO HOT
04/28/20:11:06:50,846 root WARNING Water temp = 75.54f TOO HOT
04/28/20:11:06:57,631 root WARNING Water temp = 75.54f TOO HOT
04/28/20:11:07:04,440 root WARNING Water temp = 75.54f TOO HOT
04/28/20:11:07:11,226 root WARNING Water temp = 75.54f TOO HOT
04/28/20:11:07:18,967 root WARNING Water temp = 75.54f TOO HOT
04/28/20:11:07:25,711 root WARNING Water temp = 75.54f TOO HOT
04/28/20:11:07:32,515 root WARNING Water temp = 75.54f TOO HOT
04/28/20:11:07:39,314 root WARNING Water temp = 75.65f TOO HOT
04/28/20:11:07:46,988 root WARNING Water temp = 75.54f TOO HOT
04/28/20:11:07:54,241 root WARNING Water temp = 75.54f TOO HOT
04/28/20:11:08:00,646 root WARNING Water temp = 75.54f TOO HOT
04/28/20:11:08:08,269 root WARNING Water temp = 75.54f TOO HOT
04/28/20:11:08:15,89 root WARNING Water temp = 75.54f TOO HOT
04/28/20:11:08:21,871 root WARNING Water temp = 75.54f TOO HOT
04/28/20:11:08:28,696 root WARNING Water temp = 75.54f TOO HOT
04/28/20:11:08:35,467 root WARNING Water temp = 75.54f TOO HOT
04/28/20:11:08:42,298 root WARNING Water temp = 75.54f TOO HOT
04/28/20:11:08:49,67 root WARNING Water temp = 75.54f TOO HOT
04/28/20:11:08:55,896 root WARNING Water temp = 75.54f TOO HOT
04/28/20:11:09:02,667 root WARNING Water temp = 75.54f TOO HOT
04/28/20:11:09:09,485 root WARNING Water temp = 75.54f TOO HOT
04/28/20:11:09:16,271 root WARNING Water temp = 75.54f TOO HOT
04/28/20:11:09:23,86 root WARNING Water temp = 75.54f TOO HOT
04/28/20:11:09:29,880 root WARNING Water temp = 75.54f TOO HOT
04/28/20:11:09:36,687 root WARNING Water temp = 75.54f TOO HOT
04/28/20:11:09:43,468 root WARNING Water temp = 75.54f TOO HOT
04/28/20:11:09:50,282 root WARNING Water temp = 75.54f TOO HOT
